exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links
2007,平成19年度,1,single,民法・借地借家法,h19;single_choice;direct_question;parsed,契約に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,双務契約の当事者の一方は、相手方の債務が弁済期にあるときは、相手方がその債 務の履行を提供するまでは、自己の債務の履行を拒むことができる。,一定の役務の提供に対して報酬が与えられることが約された契約において、当事者 双方の責めに帰することができない事由によって役務の提供ができなくなったときで も、報酬債権は消滅しない。,当事者の一方がその債務を履行期に履行しない場合において、相手方は、履行の催 告をすることなしに直ちに契約の解除をすることができる。,事者の一方がその債務を履行しない場合において、相手方が解除権を行使したと きには、損害賠償の請求をすることはできない。,1,FALSE,FALSE,,正解は1です。双務契約では、相手方の債務が弁済期にあり、その履行の提供があるまで自己の履行を拒めるため、同時履行の抗弁を述べた1が正しいです。2は、当事者双方の責めに帰することができない事由で役務提供ができなくなった場合、報酬請求権は原則としてそのまま残りません。3は、履行遅滞を理由とする解除では原則として相当期間を定めた催告が必要です。4は、契約を解除しても損害賠償請求は妨げられません。,双務契約では、相手方の債務が弁済期にあり、その履行の提供があるまで自己の履行を拒めるため、同時履行の抗弁を述べた1が正しいです。,正解は1です。双務契約では、相手方の債務が弁済期にあり、その履行の提供があるまで自己の履行を拒めるため、同時履行の抗弁を述べた1が正しいです。2は、当事者双方の責めに帰することができない事由で役務提供ができなくなった場合、報酬請求権は原則としてそのまま残りません。3は、履行遅滞を理由とする解除では原則として相当期間を定めた催告が必要です。4は、契約を解除しても損害賠償請求は妨げられません。,2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「一定の役務の提供に対して報酬が与えられることが約された契約において、当事者 双方の責めに帰することができない事由によって役務の提供ができなくなっ…」は本問の正答（1）とは異なるため不適です。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「当事者の一方がその債務を履行期に履行しない場合において、相手方は、履行の催 告をすることなしに直ちに契約の解除をすることができる。」は本問の正答（1）とは異なるため不適です。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「事者の一方がその債務を履行しない場合において、相手方が解除権を行使したと きには、損害賠償の請求をすることはできない。」は本問の正答（1）とは異なるため不適です。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
2007,平成19年度,2,combination,民法・借地借家法,h19;combination;most_appropriate;parsed,次のアからエの各事項について、下記のAからDの契約から該当するものを選択した場合に、民法の規定によれば、最も適切な組合せはどれか。ア 区分所有者が、自己が区分所有する専有部分を担保に供して、金融機関から融資を受けること。,,,,,,弁護士が、管理組合から共用部分の瑕疵に対する責任追及についての相談に応じ ること。 ウマンション管理業者が、管理組合から委託を受けて管理規約の原本等の図書を保 管すること。 エ 数人の区分所有者が、各自資金を拠出して自然保護のための啓蒙活動を行うこと を約すること。 A 寄託 B 請負 C 委任 D 組合 1 アとA,イとB,ウとC,エとD 1,4,FALSE,FALSE,,正解は4です。契約類型は、弁護士が法律相談に応じる場面は委任、管理規約の原本等を預かって保管する場面は寄託、数人が資金を出し合って共通の目的活動を行う場面は組合として整理します。請負は仕事の完成を目的とする契約なので、単なる法律相談や図書保管とは性質が異なります。各事項を契約の典型ごとに切り分けると、組合契約に当たるエを含む4が最も適切です。,契約類型は、弁護士が法律相談に応じる場面は委任、管理規約の原本等を預かって保管する場面は寄託、数人が資金を出し合って共通の目的活動を行う場面は組合として整理します。,正解は4です。契約類型は、弁護士が法律相談に応じる場面は委任、管理規約の原本等を預かって保管する場面は寄託、数人が資金を出し合って共通の目的活動を行う場面は組合として整理します。請負は仕事の完成を目的とする契約なので、単なる法律相談や図書保管とは性質が異なります。各事項を契約の典型ごとに切り分けると、組合契約に当たるエを含む4が最も適切です。,1:（1）の内容は、正答（4）「エとD 1」が示す論点とずれています。 選択肢（1）「弁護士が、管理組合から共用部分の瑕疵に対する責任追及についての相談に応じ ること。 ウマンション管理業者が、管理組合から委託を受けて管理規約の原…」は本問の正答（4）とは異なるため不適です。;2:（2）「イとB」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「エとD 1」です。問題文の条件（次のアからエの各事項について、下記のAからDの契約から該当するものを選択した場合に、民法の規定に…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「ウとC」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「エとD 1」です。問題文の条件（次のアからエの各事項について、下記のAからDの契約から該当するものを選択した場合に、民法の規定に…）と照らし、設問が問う論点に合う肢を選び直してください。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
2007,平成19年度,3,single,民法・借地借家法,h19;single_choice;direct_question;parsed,Aが区分所有しているマンション（マンションの管理の適正化の推進に関する法律（平成12年法律第149号。以下「マンション管理適正化法」という。）第2条第1号に規定するものをいう。以下同じ。）の専有部分（以下本問において「本件専有部分」という。）をBに無償で貸した場合に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,Bが死亡したときは、Bの相続人は、本件専有部分を明け渡さなければならない。,本件専有部分についての通常の必要費は、Aが負担する。,本件専有部分の瑕疵について、Aは、賃貸人と同じく担保責任を負う。,契約で返還の時期を定めた場合でも、Aは、Bに対し、自己が使用する必要がある ときには、いつでも本件専有部分の明渡しを請求することができる。,1,FALSE,FALSE,,正解は1です。使用貸借は借主の死亡によって終了するのが原則なので、Bが死亡した場合は相続人は明渡し義務を負います。2は、通常の必要費は貸主ではなく借主が負担するのが原則です。3は、貸主が瑕疵を知りながら告げなかった場合などに限って責任が問題となるので、賃貸借と同じような担保責任を常に負うわけではありません。4も、返還時期を定めた使用貸借であれば、貸主がいつでも自由に返還請求できるわけではありません。,使用貸借は借主の死亡によって終了するのが原則なので、Bが死亡した場合は相続人は明渡し義務を負います。,正解は1です。使用貸借は借主の死亡によって終了するのが原則なので、Bが死亡した場合は相続人は明渡し義務を負います。2は、通常の必要費は貸主ではなく借主が負担するのが原則です。3は、貸主が瑕疵を知りながら告げなかった場合などに限って責任が問題となるので、賃貸借と同じような担保責任を常に負うわけではありません。4も、返還時期を定めた使用貸借であれば、貸主がいつでも自由に返還請求できるわけではありません。,2:（2）の内容は、正答（1）「Bが死亡したときは、Bの相続人は、本件専有部分を明け渡さなければならない。」が示す論点とずれています。;3:（3）の内容は、正答（1）「Bが死亡したときは、Bの相続人は、本件専有部分を明け渡さなければならない。」が示す論点とずれています。;4:（4）の内容は、正答（1）「Bが死亡したときは、Bの相続人は、本件専有部分を明け渡さなければならない。」が示す論点とずれています。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
2007,平成19年度,4,single,民法・借地借家法,h19;single_choice;direct_question;parsed,Aが区分所有しているマンションの専有部分（以下本問において「本件専有部分」という。）をBに賃貸している場合におけるAの賃料債権の先取特権に関する次の記述のうち、民法の規定によれば、誤っているものはどれか。,,,,,,Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産について存在 する。,Bが本件専有部分をAの承諾を得てCに転貸した場合に、Aの賃料についての先取 特権は、Cの動産にも及ぶ。,Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産をDに売却し て引き渡した後は、その動産について行使することができない。,Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産をEに売却し た場合に、BがEから受けるべき金銭に対して行使することはできない。 2,4,FALSE,FALSE,,正解は4です。この設問は誤っているものを選ぶ問題です。賃貸人の先取特権は、賃借物に備え付けられた動産に及び、承諾のある転貸であれば転借人の動産にも及びます。また、第三者に売却して引き渡された後は、その動産自体への行使はできません。他方で、売却によって賃借人が受けるべき金銭には物上代位できるので、『行使することはできない』とする記述は誤っており、これが本問の正答（4）です。,（4）です 他方で、売却によって賃借人が受けるべき金銭には物上代位できるので、『行使することはできない』とする記述は誤っており、これが本問の正答（4）です。,（4）です 他方で、売却によって賃借人が受けるべき金銭には物上代位できるので、『行使することはできない』とする記述は誤っており、これが本問の正答（4）です。,1:（1）「Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産について存在 する。」は、正答（4）「Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産をEに売却し た場合に、BがEから…」と異なる組合せです。解説のとおり、各肢の要件（ABEBE）との対応を確認してください。;2:（2）「Bが本件専有部分をAの承諾を得てCに転貸した場合に、Aの賃料についての先取 特権は、Cの動産にも及ぶ。」は、正答（4）「Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産をEに売却し た場合に、BがEから…」と異なる組合せです。解説のとおり、各肢の要件（ABEBE）との対応を確認してください。;3:（3）「Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産をDに売却し て引き渡した後は、その動産について行使することができない。」は、正答（4）「Aの賃料についての先取特権は、Bが本件専有部分に備え付けた動産をEに売却し た場合に、BがEから…」と異なる組合せです。解説のとおり、各肢の要件（ABEBE）との対応を確認してください。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
2007,平成19年度,5,combination,民法・借地借家法,h19;combination;direct_question;parsed,あるマンションの専有部分である301号室をA、B、Cの3人が共有し、302号室をDが占有している場合に関する次の記述のうち、民法及び建物の区分所有等に関する法律（昭和37年法律第69号。以下「区分所有法」という。）の規定によれば、正しいもののみの組合せはどれか。ア 301号室の管理に関する事項は、A、B、Cの頭数及び各持分の価格の各過半数をもって決する。イA、B、Cは、一定期間内は分割をしない旨の契約がない限りは、いつでも301号室の分割を請求することができる。ウ 302号室について、Dは、所有の意思をもって、善意で、平穏に、かつ、公然と占有をなしているものと推定される。エ Dは、302号室については時効によって取得することができるが、共用部分の持分については、それと共に時効により取得することはできない。,,,,,,アとイ,アとウ,イとウ,イとエ,3,FALSE,FALSE,,正解は3です。イとウが正しく、組合せは『イとウ』です。アは、共有物の管理は頭数ではなく持分価格の過半数で決するため誤りです。イは、分割禁止の特約がなければ共有者はいつでも分割請求できます。ウは、占有者は所有の意思・善意・平穏・公然占有が推定されるので正しいです。エは、専有部分を時効取得すれば、それに従たる共用部分の持分も一体として取得するため誤りです。,イとウが正しく、組合せは『イとウ』です。,正解は3です。イとウが正しく、組合せは『イとウ』です。アは、共有物の管理は頭数ではなく持分価格の過半数で決するため誤りです。イは、分割禁止の特約がなければ共有者はいつでも分割請求できます。ウは、占有者は所有の意思・善意・平穏・公然占有が推定されるので正しいです。エは、専有部分を時効取得すれば、それに従たる共用部分の持分も一体として取得するため誤りです。,1:（1）「アとイ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「イとウ」です。問題文の条件（あるマンションの専有部分である301号室をA、B、Cの3人が共有し、302号室をDが占有している…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「アとウ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「イとウ」です。問題文の条件（あるマンションの専有部分である301号室をA、B、Cの3人が共有し、302号室をDが占有している…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「イとエ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「イとウ」です。問題文の条件（あるマンションの専有部分である301号室をA、B、Cの3人が共有し、302号室をDが占有している…）と照らし、設問が問う論点に合う肢を選び直してください。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
2007,平成19年度,6,single,民法・借地借家法,h19;single_choice;direct_question;parsed,Aは、Bが区分所有している専有部分（以下本問において「本件専有部分」という。）を賃借していたが、Bに無断で本件専有部分をCに転貸した。この場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,,,,,,AC間の転貸借契約は、Bの承諾がない場合でも有効であり、Aは、Cに対して、 賃料の支払いを請求することができる。,AC間の転貸借契約についてBの承諾が得られない場合には、Cは、Aに対して、 AC間の契約を解除することができる。,Aが本件専有部分を、AC間の転貸借契約に基づきCに使用させたときは、Bは、 AB間の賃貸借契約を解除することができる。,Bは、Aとの賃貸借契約を解除しない限り、Cに対して、所有権に基づいて本件専 有部分の明渡しを請求することはできない。 3,4,FALSE,FALSE,,正解は4です。この設問は誤っているものを選ぶ問題です。無断転貸であっても、AとCの間の転貸借契約自体は有効で、AはCに賃料請求できます。無断転貸はBによる解除原因にもなります。他方で、BはAとの賃貸借契約を解除しなければCに対して何もできないわけではなく、所有権に基づいて明渡しを求められるので、記述として誤っているのは（4）であり、これが本問の正答です。,（4）であり 他方で、BはAとの賃貸借契約を解除しなければCに対して何もできないわけではなく、所有権に基づいて明渡しを求められるので、記述として誤っているのは（4）であり、これが本問の正…,（4）であり 他方で、BはAとの賃貸借契約を解除しなければCに対して何もできないわけではなく、所有権に基づいて明渡しを求められるので、記述として誤っているのは（4）であり、これが本問の正答です。,1:（1）「AC間の転貸借契約は、Bの承諾がない場合でも有効であり、Aは、Cに対して、 賃料の支払いを請求することができる。」は、正答（4）「Bは、Aとの賃貸借契約を解除しない限り、Cに対して、所有権に基づいて本件専 有部分の明渡しを請求…」と異なる組合せです。解説のとおり、各肢の要件（BAC）との対応を確認してください。;2:（2）「AC間の転貸借契約についてBの承諾が得られない場合には、Cは、Aに対して、 AC間の契約を解除することができる。」は、正答（4）「Bは、Aとの賃貸借契約を解除しない限り、Cに対して、所有権に基づいて本件専 有部分の明渡しを請求…」と異なる組合せです。解説のとおり、各肢の要件（BAC）との対応を確認してください。;3:（3）「Aが本件専有部分を、AC間の転貸借契約に基づきCに使用させたときは、Bは、 AB間の賃貸借契約を解除することができる。」は、正答（4）「Bは、Aとの賃貸借契約を解除しない限り、Cに対して、所有権に基づいて本件専 有部分の明渡しを請求…」と異なる組合せです。解説のとおり、各肢の要件（BAC）との対応を確認してください。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
2007,平成19年度,7,single,標準管理委託契約書・指針,h19;single_choice;most_appropriate;parsed,宅地建物取引業者（宅地建物取引業法（昭和27年法律第176号）第2条第3号に規定する者をいう。以下同じ。）から、その行う業務の用に供する目的でマンションに関する情報の提供を要求された場合のマンション管理業者（マンション管理適正化法第2条第8号に規定する者をいう。以下同じ。）の対応に関する次の記述のうち、マンション標準管理委託契約書（平成15年4月9日国総動第1号～第4号。国土交通省総合政策局長通達。以下同じ。）の定めによれば、最も適切なものはどれか。,,,,,,マンション（専有部分を含む。）の修繕の実施状況については、書面をもって開示 するものとする。,管理規約の写しを提供するときは、当該書面に管理業務主任者をして記名押印させ、 提供しなければならない。,管理規約が電磁的記録により作成されている場合には、記録された情報内容を画面 に表示して開示するものとする。,管理組合の修繕積立金積立総額については、書面をもって開示するものとする。,4,FALSE,FALSE,,正解は4です。マンション標準管理委託契約書では、重要事項に関わる一定の情報は書面で開示する扱いになっており、修繕積立金積立総額はその代表例です。1は専有部分まで含めた修繕履歴を一律に書面開示する趣旨ではありません。2も、管理規約の写しの提供に管理業務主任者の記名押印が必須とされているわけではありません。3も、電磁的記録なら単に画面表示で足りるという整理ではありません。,マンション標準管理委託契約書では、重要事項に関わる一定の情報は書面で開示する扱いになっており、修繕積立金積立総額はその代表例です。,正解は4です。マンション標準管理委託契約書では、重要事項に関わる一定の情報は書面で開示する扱いになっており、修繕積立金積立総額はその代表例です。1は専有部分まで含めた修繕履歴を一律に書面開示する趣旨ではありません。2も、管理規約の写しの提供に管理業務主任者の記名押印が必須とされているわけではありません。3も、電磁的記録なら単に画面表示で足りるという整理ではありません。,1:（1）の内容は、正答（4）「管理組合の修繕積立金積立総額については、書面をもって開示するものとする。」が示す論点とずれています。;2:（2）の内容は、正答（4）「管理組合の修繕積立金積立総額については、書面をもって開示するものとする。」が示す論点とずれています。;3:（3）の内容は、正答（4）「管理組合の修繕積立金積立総額については、書面をもって開示するものとする。」が示す論点とずれています。,,
2007,平成19年度,8,count,標準管理委託契約書・指針,h19;count;count;parsed,管理事務に要する費用の負担及び支払方法に関する次のアからエまでの記述のうち、マンション標準管理委託契約書の定めによれば、適切なものはいくつあるか。ア 管理事務を行う上で必要な管理員室、管理用倉庫、清掃員控室、器具、備品等は、管理組合がマンション管理業者に無償で使用させるものとする。イ 定額委託業務費以外の業務費については、管理組合は、各業務終了後に、管理組合及びマンション管理業者が別に定める方法により精算の上、マンション管理業者が指定する口座に振り込む方法により支払う。ウ 定額委託業務費とは、委託業務費のうち、その負担方法が定額でかつ精算を要しない費用をいう。エマンション管理業者が管理事務を実施するのに伴い必要となる水道光熱費等の諸費用の負担については、管理組合及びマンション管理業者が協議して決定する。,,,,,,一つ,二つ,三つ,四つ,3,FALSE,FALSE,,正解は3です。適切なのはア・イ・ウの三つです。アのような管理員室や備品等を無償使用させる扱い、イのような定額委託業務費以外の精算払い、ウのような定額委託業務費の定義は、いずれも標準管理委託契約書の考え方に沿います。エは、水道光熱費等の負担をその都度の協議で決めるというより、契約上あらかじめ整理しておくべき事項なので不適切です。,適切なのはア・イ・ウの三つです。,正解は3です。適切なのはア・イ・ウの三つです。アのような管理員室や備品等を無償使用させる扱い、イのような定額委託業務費以外の精算払い、ウのような定額委託業務費の定義は、いずれも標準管理委託契約書の考え方に沿います。エは、水道光熱費等の負担をその都度の協議で決めるというより、契約上あらかじめ整理しておくべき事項なので不適切です。,1:（1）「一つ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「三つ」です。問題文の条件（管理事務に要する費用の負担及び支払方法に関する次のアからエまでの記述のうち、マンション標準管理委…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「二つ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「三つ」です。問題文の条件（管理事務に要する費用の負担及び支払方法に関する次のアからエまでの記述のうち、マンション標準管理委…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「四つ」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「三つ」です。問題文の条件（管理事務に要する費用の負担及び支払方法に関する次のアからエまでの記述のうち、マンション標準管理委…）と照らし、設問が問う論点に合う肢を選び直してください。,,
2007,平成19年度,9,single,標準管理委託契約書・指針,h19;single_choice;most_inappropriate;parsed,マンション管理業者が行わなければならない事務管理業務に関する次の記述のうち、マンション標準管理委託契約書の定めによれば、最も不適切なものはどれか。,,,,,,管理組合の管理規約等の定め若しくは総会決議、組合員名簿若しくは組合員異動届 又は専用使用契約書に基づき、毎月、組合員別管理費等負担額一覧表を管理組合に提 出するものとする。,管理組合がマンションの維持又は修繕（大規模修繕を除く修繕又は保守点検等。） を第三者に外注する場合の企画又は実施の調整を行うものとする。,管理組合の組合員等異動届に基づき、組合員及び賃借人等の氏名、連絡先（緊急連 絡先を含む。）を記載した名簿を整備するものとする。,管理対象部分に係る各種の点検、検査等の結果を管理組合に報告すると共に、改善 等の必要がある事項については、文書をもって、具体的な方策を管理組合に助言する ものとする。,1,FALSE,FALSE,,正解は1です。この設問は最も不適切なものを選ぶ問題です。標準管理委託契約書では、組合員別管理費等負担額一覧表を毎月提出することまでを当然の事務管理業務として求めているわけではありません。これに対し、2の外注修繕等の企画・実施調整、3の組合員や賃借人等の名簿整備、4の点検結果の報告と改善方策の助言は、管理実務との結び付きが強い内容です。そのため1が最も不適切です。,この設問は最も不適切なものを選ぶ問題です。,正解は1です。この設問は最も不適切なものを選ぶ問題です。標準管理委託契約書では、組合員別管理費等負担額一覧表を毎月提出することまでを当然の事務管理業務として求めているわけではありません。これに対し、2の外注修繕等の企画・実施調整、3の組合員や賃借人等の名簿整備、4の点検結果の報告と改善方策の助言は、管理実務との結び付きが強い内容です。そのため1が最も不適切です。,2:（2）「管理組合がマンションの維持又は修繕（大規模修繕を除く修繕又は保守点検等。） を第三者に外注する場合の企画又は実施の調整を行うもの…」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（1）「管理組合の管理規約等の定め若しくは総会決議、組合員名簿若しくは組合員異動届 又は専用使用契約書に基づき、毎月、組…」です。解説のポイント：正解は1です。この設問は最も不適切なものを選ぶ問題です。標準管理委託契約書では、組合員別管理費等負担額一覧表を毎月提出することまでを当然の事務管理業務として求めているわけではありません。これに対し、2の外注修繕等の企画・実施調整、3の組合員…;3:（3）「管理組合の組合員等異動届に基づき、組合員及び賃借人等の氏名、連絡先（緊急連 絡先を含む。）を記載した名簿を整備するものとする。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（1）「管理組合の管理規約等の定め若しくは総会決議、組合員名簿若しくは組合員異動届 又は専用使用契約書に基づき、毎月、組…」です。解説のポイント：正解は1です。この設問は最も不適切なものを選ぶ問題です。標準管理委託契約書では、組合員別管理費等負担額一覧表を毎月提出することまでを当然の事務管理業務として求めているわけではありません。これに対し、2の外注修繕等の企画・実施調整、3の組合員…;4:（4）「管理対象部分に係る各種の点検、検査等の結果を管理組合に報告すると共に、改善 等の必要がある事項については、文書をもって、具体的な…」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（1）「管理組合の管理規約等の定め若しくは総会決議、組合員名簿若しくは組合員異動届 又は専用使用契約書に基づき、毎月、組…」です。解説のポイント：正解は1です。この設問は最も不適切なものを選ぶ問題です。標準管理委託契約書では、組合員別管理費等負担額一覧表を毎月提出することまでを当然の事務管理業務として求めているわけではありません。これに対し、2の外注修繕等の企画・実施調整、3の組合員…,,
2007,平成19年度,10,single,民法・借地借家法,h19;single_choice;direct_question;parsed,マンションの管理費の滞納に関する次の記述のうち、民法及び区分所有法の規定によれば、正しいものはどれか。,,,,,,管理規約に管理費についての遅延損害金の定めがない場合には、管理組合は管理費 の滞納者に対して、滞納額のみ請求することができ、遅延損害金の請求をすることは できない。,管理費の滞納者が、管理組合あてに滞納の事実を認め、滞納管理費の一部であるこ とを明示して支払った場合、全額について消滅時効が中断する。,管理費の滞納者が、滞納したまま死亡した場合、その相続人が相続放棄をしたとき でも、管理組合は、管理費について請求することができる。,管理費の滞納者が、マンションの区分所有権を売却した場合、その買主が、買い受 け当時、前区分所有者の滞納の事実及びその額について知らず、かつ過失もないとき は、管理組合に対して、その支払義務を負わない。,2,FALSE,FALSE,,正解は2です。滞納者が管理組合に対して滞納の事実を認めた上で、その一部として支払う行為は債務の承認に当たり、時効の完成猶予・更新に関わる効果が生じます。1は、規約に特約がなくても法定の遅延損害金を請求し得るので誤りです。3は、相続放棄がされた場合に直ちに請求不能になるわけではなく、相続財産管理等の場面を含め別途検討が必要です。4も、管理費債務は特定承継人に承継されるため、買主が善意無過失でも免れません。,滞納者が管理組合に対して滞納の事実を認めた上で、その一部として支払う行為は債務の承認に当たり、時効の完成猶予・更新に関わる効果が生じます。,正解は2です。滞納者が管理組合に対して滞納の事実を認めた上で、その一部として支払う行為は債務の承認に当たり、時効の完成猶予・更新に関わる効果が生じます。1は、規約に特約がなくても法定の遅延損害金を請求し得るので誤りです。3は、相続放棄がされた場合に直ちに請求不能になるわけではなく、相続財産管理等の場面を含め別途検討が必要です。4も、管理費債務は特定承継人に承継されるため、買主が善意無過失でも免れません。,1:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（1）「管理規約に管理費についての遅延損害金の定めがない場合には、管理組合は管理費 の滞納者に対して、滞納額のみ請求することができ、遅延損害金の請求をす…」は本問の正答（2）とは異なるため不適です。;3:（3）の内容は、正答（2）「管理費の滞納者が、管理組合あてに滞納の事実を認め、滞納管理費の一部であるこ とを明示して支払った場合、全額につい…」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「管理費の滞納者が、マンションの区分所有権を売却した場合、その買主が、買い受 け当時、前区分所有者の滞納の事実及びその額について知らず、かつ過失も…」は本問の正答（2）とは異なるため不適です。,借地借家・民法改正の問題は、権利関係の主体と効果の発生時期を一文で説明できるかが要点です。間違えた肢は「誰に・いつ・どの効果が及ぶか」で正答と対比し、関連用語から解き直してください。,
