question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
1,single,民法・借地借家法,orig_set01;同時履行の抗弁;basic;single_choice,売買契約に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,AがBに建物を売り渡し、Bが代金を支払う契約において、建物の引渡し日と代金の支払日が同一の日とされている場合、Bが代金の履行の提供をしないときは、Aは建物の引渡しを拒むことができる。,双務契約の一方当事者は、相手方の債務がまだ弁済期にない場合でも、相手方が将来履行しないおそれがあるときは、当然に自己の履行を拒むことができる。,双務契約の一方当事者は、相手方が履行しないときは、催告をしなくても、常に直ちに契約を解除することができるから、自己の履行を拒む必要はない。,双務契約の一方当事者が同時履行の抗弁を主張したときは、相手方に対する損害賠償請求権も当然に失われる。,1,正解は1です。双務契約では、相手方の債務が弁済期にあり、その履行の提供がないときは、自己の債務の履行を拒むことができます。これが同時履行の抗弁です。2は、相手方の債務がまだ弁済期にない以上、民法533条の要件を満たしません。3は、債務不履行があっても解除には原則として催告が必要であり、常に直ちに解除できるわけではありません。4も、同時履行の抗弁は履行を拒めるという抗弁であって、損害賠償請求権が当然に消えるわけではありません。
2,single,民法・借地借家法,orig_set01;履行遅滞と解除;standard;case_based,契約の解除に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,売買契約において、売主が履行期に引渡しをしなかったときは、買主は、催告をしなくても、常に直ちに契約を解除することができる。,請負契約において、仕事の完成が全部不能となった場合でも、注文者は、相当の期間を定めて催告をしなければ契約を解除することができない。,特定の日までにマンション総会資料を印刷して納品しなければ契約の目的を達することができない契約において、その日までに履行がされなかったときは、注文者は、催告をしないで契約を解除することができる。,相当の期間を定めて履行を催告し、その期間内に履行がないときは、債務不履行が契約及び取引上の社会通念に照らして軽微であっても、債権者は必ず契約を解除することができる。,3,正解は3です。契約の性質上、特定の日時までに履行しなければ契約目的を達成できない場合に、その時期を経過しても履行がなされなければ、債権者は催告をしないで直ちに解除できます。これは民法542条1項4号の場面です。1は、単なる履行遅滞で常に無催告解除できるわけではないので誤りです。2も、履行全部不能なら無催告解除が可能です。4は、催告後に履行がなくても、不履行が軽微であれば解除はできません。
3,single,民法・借地借家法,orig_set01;無断転貸と賃貸借解除;standard;single_choice,Aが所有するマンションの一室をBに賃貸している場合に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,BがAの承諾を得ずにCに転貸したときは、BとCとの間の転貸借契約は当然に無効となる。,BがAの承諾を得ずにCに転貸した場合でも、Aは、Bとの賃貸借契約を解除することができない。,Aの承諾を得ない転貸であっても、Aは、Bが賃料を支払っている限り、Bに対して何らの主張もすることができない。,BがAの承諾を得ずにCに当該専有部分を使用させたときは、Aは、Bとの賃貸借契約を解除することができる。,4,正解は4です。賃借人は、賃貸人の承諾を得なければ、賃借物を転貸することができません。そして、その承諾を得ずに第三者に使用又は収益をさせたときは、賃貸人は契約を解除することができます。したがって4が正しいです。1は、無断転貸があるからといって転貸借契約が当然に無効となるわけではありません。2と3も、無断転貸に対して賃貸人の解除権が認められている以上、誤りです。
4,count,民法・借地借家法,orig_set01;債務承認と時効;advanced;count,マンションの管理費債権の消滅時効に関する次のアからエまでの記述のうち、民法の規定によれば、正しいものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,2,正解は2です。正しいものはアとイの二つです。アは、債権は原則として、権利を行使することができることを知った時から5年間行使しないときに時効により消滅するため正しいです。イも、滞納額の一部であることを明示した支払は、債務の承認に当たり得ます。ウは、承認があるとそれまで進行していた時効は更新されるので誤りです。エも、債務の承認は裁判上の手続に限られず、一部弁済や支払約束などでも認められ得るため誤りです。
5,single,民法・借地借家法,orig_set01;定期建物賃貸借;standard;single_choice,Aが、床面積80平方メートルのマンションの一室を、居住の用に供するため、Bと定期建物賃貸借契約を締結した場合に関する次の記述のうち、借地借家法の規定によれば、正しいものはどれか。,,,,,,契約期間を10か月と定めた定期建物賃貸借契約は、1年の契約期間とみなされる。,契約期間を2年と定めた場合、Aが期間満了の1年前から6か月前までの間に契約が終了する旨の通知をしなかったときは、その後Aが通知をしても、その通知の日から6か月を経過するまでは、契約の終了をBに対抗することができない。,Bが転勤により当該建物を自己の生活の本拠として使用することが困難となった場合でも、契約に中途解約条項がなければ、Bは中途解約の申入れをすることができない。,Aが、契約の更新がなく、期間満了により賃貸借が終了する旨を記載した書面をあらかじめ交付して説明しなかったとしても、定期建物賃貸借契約が書面で締結されていれば、その定めは有効である。,2,正解は2です。定期建物賃貸借で期間が1年以上である場合、貸主は期間満了の1年前から6か月前までの間に終了通知をしなければ、その終了を賃借人に対抗できません。通知期間経過後に通知したときは、その通知の日から6か月を経過した後に終了を対抗できます。1は、定期建物賃貸借では1年未満の期間設定も可能なので誤りです。3も、床面積200平方メートル未満の居住用建物で、転勤等のやむを得ない事情があるときは、賃借人から中途解約の申入れができます。4は、事前説明がなければ更新しない旨の定めは無効となるため誤りです。
6,single,区分所有法,orig_set01;専有部分と共用部分;basic;comparison_table,区分所有建物の専有部分及び共用部分に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,,,,,,数戸の専有部分に通ずる廊下であっても、特定の区分所有者が日常的に多く使用しているときは、その者の専有部分とすることができる。,建物の一部又は附属建物については、規約で共用部分と定めることができる。,専有部分とは、区分所有者が単独で所有する意思を有している部分をいい、構造上又は利用上の独立性は要しない。,附属建物は、常に専有部分としてのみ取り扱われ、共用部分とする余地はない。,2,正解は2です。区分所有法では、廊下や階段のように構造上、全員又は一部の区分所有者の共用に供されるべき部分は共用部分となります。また、規約により、建物の一部や附属建物を共用部分とすることもできます。したがって2が正しいです。1は、利用実態だけで専有部分になるわけではありません。3も、専有部分には構造上・利用上の独立性が必要です。4も、附属建物を規約で共用部分とすることができるため誤りです。
7,single,区分所有法,orig_set01;敷地利用権と分離処分;standard;single_choice,区分所有者の敷地利用権に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,,,,,,敷地利用権が共有持分である場合でも、区分所有者は、専有部分だけを自由に第三者へ譲渡することができる。,敷地利用権と専有部分の分離処分禁止は強行規定であり、規約で別段の定めを置くことは一切できない。,敷地利用権が数人で有する所有権その他の権利である場合、区分所有者は、規約に別段の定めがない限り、専有部分と敷地利用権とを分離して処分することができない。,専有部分と敷地利用権の分離処分が禁止されている場合、その違反処分の無効は、相手方が善意であっても常に主張することができる。,3,正解は3です。区分所有法22条1項は、敷地利用権が数人で有する所有権その他の権利である場合、規約に別段の定めがない限り、専有部分とその敷地利用権を分離して処分することを禁止しています。したがって3が正しいです。1は本則に反します。2も、規約で別段の定めを置く余地があるため誤りです。4は、違反処分の無効は善意の相手方には対抗できない場合があるので誤りです。
8,combination,区分所有法,orig_set01;総会決議要件;standard;combination,次のアからエまでの事項のうち、建物の区分所有等に関する法律の規定によれば、集会において区分所有者及び議決権の各4分の3以上の多数による決議を要するもののみの組合せはどれか。,,,,,,アとイ,イとウ,ウとエ,アとエ,2,正解は2です。イとウが、区分所有者及び議決権の各4分の3以上の多数による決議を要する事項です。イの規約変更は区分所有法31条1項、ウの使用禁止請求に関する決議は58条2項によります。これに対し、アの管理者選任やエの共用部分の通常管理事項は、原則として39条1項により過半数決議で足ります。
9,single,区分所有法,orig_set01;義務違反者への措置;advanced;precedent_fill,建物の区分所有等に関する法律に基づく義務違反者への措置に関する次の記述のうち、正しいものはどれか。,,,,,,占有者が共同の利益に反する行為をした場合でも、区分所有法60条に基づき契約解除及び引渡しを求めることはできず、常に59条の競売請求によらなければならない。,区分所有者に対する専有部分の使用禁止請求は、集会の普通決議があれば足りる。,義務違反行為の停止請求は、裁判を提起するために常に区分所有者全員が共同して原告とならなければならない。,占有者による義務違反行為が共同生活上著しい障害となり、他の方法では障害の除去が困難であるときは、集会決議に基づき、占有者の専有部分の使用収益を目的とする契約の解除及びその専有部分の引渡しを求める訴えを提起することができる。,4,正解は4です。区分所有法60条は、占有者による義務違反行為について、共同生活上の著しい障害があり、他の方法での解決が困難なときに、集会決議に基づき、占有者の使用収益契約の解除と専有部分の引渡しを求める訴えを認めています。1は、占有者に対する場面で59条ではなく60条が問題となるので誤りです。2も、使用禁止請求の決議は4分の3決議が必要です。3も、57条3項により、集会で指定された管理者や区分所有者が訴えを提起できます。
10,single,区分所有法,orig_set01;滅失・復旧・建替え;advanced;case_based,マンションの一部滅失とその後の復旧又は建替えに関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,,,,,,建物価格の2分の1以下に相当する部分が滅失した場合、各区分所有者は、所定の決議が先にされていない限り、滅失した共用部分及び自己の専有部分を復旧することができる。,建物価格の2分の1を超える部分が滅失した場合、復旧に関する決議は一切できず、常に直ちに建替え決議をしなければならない。,建替え決議は、区分所有者及び議決権の各4分の3以上の多数で足りる。,建物価格の2分の1以下に相当する部分が滅失した場合、各区分所有者が単独で復旧できるのは自己の専有部分に限られ、共用部分については常に集会決議が必要である。,1,正解は1です。区分所有法61条1項は、建物価格の2分の1以下に相当する一部滅失であれば、各区分所有者が、所定の決議が先行していない限り、滅失した共用部分及び自己の専有部分を復旧できるとしています。したがって1が正しいです。2は、2分の1を超える一部滅失でも、61条5項により3/4決議で復旧決議をする余地があるため誤りです。3も、建替え決議は62条1項により4/5決議です。4は、2分の1以下の一部滅失なら共用部分も復旧し得るので誤りです。
